,FIPS,STATE,AREA_NAME,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,stay at home rollback,>50 gatherings rollback,>500 gatherings rollback,restaurant dine-in rollback,entertainment/gym rollback
0,0,US,united states,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00
1,1000,AL,alabama,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
2,1001,AL,autauga county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
3,1003,AL,baldwin county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
4,1005,AL,barbour county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
5,1007,AL,bibb county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
6,1009,AL,blount county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
7,1011,AL,bullock county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
8,1013,AL,butler county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
9,1015,AL,calhoun county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
10,1017,AL,chambers county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
11,1019,AL,cherokee county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
12,1021,AL,chilton county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
13,1023,AL,choctaw county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
14,1025,AL,clarke county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
15,1027,AL,clay county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
16,1029,AL,cleburne county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
17,1031,AL,coffee county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
18,1033,AL,colbert county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
19,1035,AL,conecuh county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
20,1037,AL,coosa county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
21,1039,AL,covington county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
22,1041,AL,crenshaw county,2020-04-04 00:00:00,2020-03-20 00:00:00,2020-03-13 00:00:00,2020-03-16 00:00:00,2020-03-19 00:00:00,2020-03-28 00:00:00,2020-03-16 00:00:00,2020-03-11 00:00:00,2020-04-30 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,2020-05-11 00:00:00,2020-05-11 00:00:00
